Description_ID,Original_Description,Match_Rank,SKU,Product_Name,Brand,Color,Size,Confidence,Match_Reason,Text_Similarity,Attribute_Score,Extracted_Brand,Extracted_Color,Extracted_Size,Extracted_Subcategory,Extracted_Season
DESC0007,"Looking for naavy Santals by lite, size L please.",2,SKU1000762,Comfort Sandals,Comfort,White,L,52.26,Size: L | Type: Sandals,46.08,61.54,,Blue,L,Sandals,
DESC0007,"Looking for naavy Santals by lite, size L please.",3,SKU1000697,Elite Sandals,Elite,Navy,L,50.42,Size: L | Type: Sandals,43.01,61.54,,Blue,L,Sandals,
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,1,SKU1000185,Essential Blouse,Essential,Burgundy,XS,60.79,Brand: Essential | Color: Burgundy | Type: Blouse,53.17,72.22,Essential,Burgundy,S,Blouse,
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,2,SKU1000167,Essential Blouse,Essential,Black,S,53.76,Brand: Essential | Size: S | Type: Blouse,41.45,72.22,Essential,Burgundy,S,Blouse,
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,3,SKU1000371,Essential Jeans,Essential,Burgundy,S,52.11,Brand: Essential | Color: Burgundy | Size: S,31.29,83.33,Essential,Burgundy,S,Blouse,
DESC0009,"White Polo from Alpine, size M",1,SKU1000182,Alpine Polo,Alpine,White,M,73.21,Brand: Alpine | Color: White | Size: M | Type: Polo,55.35,100.0,Alpine,White,M,Polo,
DESC0009,"White Polo from Alpine, size M",2,SKU1000260,Classic Polo,Classic,White,L,49.03,Color: White | Type: Polo,52.09,44.44,Alpine,White,M,Polo,
DESC0009,"White Polo from Alpine, size M",3,SKU1000254,Alpine Polo,Alpine,Burgundy,L,45.86,Brand: Alpine | Type: Polo,46.8,44.44,Alpine,White,M,Polo,
DESC0010,"After Black option in XS, preferably Coat.",1,SKU1000091,Comfort Coat,Comfort,Black,XS,64.03,Color: Black | Size: XS | Type: Coat,40.04,100.0,,Black,XS,Coat,
DESC0010,"After Black option in XS, preferably Coat.",2,SKU1000133,Premium Coat,Premium,Black,L,55.33,Color: Black | Type: Coat,51.19,61.54,,Black,XS,Coat,
DESC0010,"After Black option in XS, preferably Coat.",3,SKU1000085,Alpine Coat,Alpine,Black,XXL,52.99,Color: Black | Type: Coat,47.3,61.54,,Black,XS,Coat,
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",1,SKU1000553,Urban Gown,Urban,Olive,XS,74.98,Brand: Urban | Color: Olive | Size: XS | Type: Gown,58.3,100.0,Urban,Olive,XS,Gown,
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",2,SKU1000628,Urban Gown,Urban,Olive,M,62.67,Brand: Urban | Color: Olive | Type: Gown,56.31,72.22,Urban,Olive,XS,Gown,
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",3,SKU1000496,Urban Gown,Urban,Gray,XS,60.62,Brand: Urban | Size: XS | Type: Gown,52.89,72.22,Urban,Olive,XS,Gown,
DESC0012,Do you stock Nordic's sleeveless layer in that maroon? I need XS.,1,SKU1000593,Nordic Sundress,Nordic,Burgundy,S,59.6,Brand: Nordic | Color: Burgundy | Size: S,32.67,100.0,Nordic,Burgundy,S,,
DESC0012,Do you stock Nordic's sleeveless layer in that maroon? I need XS.,2,SKU1000484,Nordic Gown,Nordic,Burgundy,S,59.24,Brand: Nordic | Color: Burgundy | Size: S,32.07,100.0,Nordic,Burgundy,S,,
DESC0012,Do you stock Nordic's sleeveless layer in that maroon? I need XS.,3,SKU1000285,Nordic Turtleneck,Nordic,Burgundy,XS,54.99,Brand: Nordic | Color: Burgundy,47.2,66.67,Nordic,Burgundy,S,,
DESC0013,Do you stock Elite's pumps in that olive tone? I need XL.,1,SKU1000796,Elite Sneakers,Elite,Olive,XL,64.03,Brand: Elite | Color: Olive | Size: XL,40.05,100.0,Elite,Olive,XL,,
DESC0013,Do you stock Elite's pumps in that olive tone? I need XL.,2,SKU1000659,Elite Heels,Elite,Olive,XL,62.31,Brand: Elite | Color: Olive | Size: XL,37.19,100.0,Elite,Olive,XL,,
DESC0013,Do you stock Elite's pumps in that olive tone? I need XL.,3,SKU1000567,Elite Dress,Elite,Olive,XL,60.42,Brand: Elite | Color: Olive | Size: XL,34.04,100.0,Elite,Olive,XL,,
DESC0014,Looking for brown outerwear for Fall 2025.,1,SKU1000436,Style Jeans,Style,Brown,M,66.78,Color: Brown,44.63,100.0,,Brown,,,Fall 2025
DESC0014,Looking for brown outerwear for Fall 2025.,2,SKU1000078,Essential Jacket,Essential,Brown,L,59.02,Color: Brown,31.71,100.0,,Brown,,,Fall 2025
DESC0014,Looking for brown outerwear for Fall 2025.,3,SKU1000639,Alpine Dress,Alpine,Brown,S,57.53,Color: Brown,29.22,100.0,,Brown,,,Fall 2025
DESC0015,Nordic Vest in Green size M,1,SKU1000023,Nordic Vest,Nordic,Green,M,89.37,Brand: Nordic | Color: Green | Size: M | Type: Vest,82.29,100.0,Nordic,Green,M,Vest,
DESC0015,Nordic Vest in Green size M,2,SKU1000071,Nordic Vest,Nordic,Olive,M,76.81,Brand: Nordic | Size: M | Type: Vest,79.86,72.22,Nordic,Green,M,Vest,
DESC0015,Nordic Vest in Green size M,3,SKU1000017,Nordic Vest,Nordic,Charcoal,XXL,62.3,Brand: Nordic | Type: Vest,74.2,44.44,Nordic,Green,M,Vest,
DESC0016,"Looking for Charcoal Parka, size XL.",1,SKU1000010,Style Parka,Style,Gray,S,51.01,Color: Gray | Type: Parka,43.99,61.54,,Gray,XL,Parka,
DESC0016,"Looking for Charcoal Parka, size XL.",2,SKU1000046,Alpine Parka,Alpine,Gray,L,49.31,Color: Gray | Type: Parka,41.15,61.54,,Gray,XL,Parka,
DESC0016,"Looking for Charcoal Parka, size XL.",3,SKU1000124,Urban Parka,Urban,Burgundy,XL,46.85,Size: XL | Type: Parka,37.06,61.54,,Gray,XL,Parka,
DESC0017,Comfort Coat in Beige size XXL,1,SKU1000109,Comfort Coat,Comfort,Beige,XXL,88.55,Brand: Comfort | Color: Beige | Size: XXL | Type: Coat,80.92,100.0,Comfort,Beige,XXL,Coat,
DESC0017,Comfort Coat in Beige size XXL,2,SKU1000121,Comfort Coat,Comfort,White,S,63.64,Brand: Comfort | Type: Coat,76.44,44.44,Comfort,Beige,XXL,Coat,
DESC0017,Comfort Coat in Beige size XXL,3,SKU1000139,Comfort Coat,Comfort,Charcoal,S,62.38,Brand: Comfort | Type: Coat,74.33,44.44,Comfort,Beige,XXL,Coat,
DESC0018,Do you stock Urban's vest in that deep navy? I need XL.,1,SKU1000131,Urban Vest,Urban,Navy,XL,65.74,Brand: Urban | Size: XL | Type: Vest,61.42,72.22,Urban,Blue,XL,Vest,
DESC0018,Do you stock Urban's vest in that deep navy? I need XL.,2,SKU1000119,Elite Vest,Elite,Blue,XL,55.21,Color: Blue | Size: XL | Type: Vest,43.87,72.22,Urban,Blue,XL,Vest,
DESC0018,Do you stock Urban's vest in that deep navy? I need XL.,3,SKU1000005,Urban Vest,Urban,Brown,M,47.94,Brand: Urban | Type: Vest,50.27,44.44,Urban,Blue,XL,Vest,
DESC0019,"Searching for the Premium ankle boots finished in ecru, XXL size.",1,SKU1000740,Premium Boots,Premium,Beige,XXL,51.25,Brand: Premium | Size: XXL | Type: Boots,37.27,72.22,Premium,Cream,XXL,Boots,
DESC0019,"Searching for the Premium ankle boots finished in ecru, XXL size.",2,SKU1000479,Alpine Leggings,Alpine,Cream,XXL,45.56,Color: Cream | Size: XXL,38.9,55.56,Premium,Cream,XXL,Boots,
DESC0019,"Searching for the Premium ankle boots finished in ecru, XXL size.",3,SKU1000132,Comfort Jacket,Comfort,Cream,XXL,43.69,Color: Cream | Size: XXL,35.77,55.56,Premium,Cream,XXL,Boots,
DESC0020,"Hello, I'm checking if you carry the charcoal turtleneck from Comfort in size XL? Appreciate your help.",1,SKU1000213,Comfort Turtleneck,Comfort,Brown,XL,57.15,Brand: Comfort | Size: XL | Type: Turtleneck,47.09,72.22,Comfort,Gray,XL,Turtleneck,
DESC0020,"Hello, I'm checking if you carry the charcoal turtleneck from Comfort in size XL? Appreciate your help.",2,SKU1000261,Comfort Turtleneck,Comfort,Charcoal,XL,56.91,Brand: Comfort | Size: XL | Type: Turtleneck,46.7,72.22,Comfort,Gray,XL,Turtleneck,
DESC0020,"Hello, I'm checking if you carry the charcoal turtleneck from Comfort in size XL? Appreciate your help.",3,SKU1000077,Comfort Vest,Comfort,Gray,XL,50.51,Brand: Comfort | Color: Gray | Size: XL,28.63,83.33,Comfort,Gray,XL,Turtleneck,
DESC0021,Looking for Style Heels White S,1,SKU1000684,Style Heels,Style,White,S,88.2,Brand: Style | Color: White | Size: S | Type: Heels,80.34,100.0,Style,White,S,Heels,
DESC0021,Looking for Style Heels White S,2,SKU1000749,Style Heels,Style,Red,M,64.56,Brand: Style | Type: Heels,77.96,44.44,Style,White,S,Heels,
DESC0021,Looking for Style Heels White S,3,SKU1000759,Style Heels,Style,Gray,XXL,64.34,Brand: Style | Type: Heels,77.6,44.44,Style,White,S,Heels,
DESC0022,"Looking for biege Parrka by Elife, size S please.",1,SKU1000040,Elite Parka,Elite,Beige,S,73.06,Brand: Elite | Color: Beige | Size: S | Type: Parka,55.1,100.0,Elite,Beige,S,Parka,
DESC0022,"Looking for biege Parrka by Elife, size S please.",2,SKU1000052,Elite Parka,Elite,Red,S,57.44,Brand: Elite | Size: S | Type: Parka,47.59,72.22,Elite,Beige,S,Parka,
DESC0022,"Looking for biege Parrka by Elife, size S please.",3,SKU1000112,Elite Parka,Elite,Charcoal,XXL,44.61,Brand: Elite | Type: Parka,44.71,44.44,Elite,Beige,S,Parka,
DESC0023,"Tan Parka from Premium, size XXL",1,SKU1000142,Premium Parka,Premium,Tan,XXL,71.05,Brand: Premium | Color: Tan | Size: XXL | Type: Parka,51.75,100.0,Premium,Tan,XXL,Parka,
DESC0023,"Tan Parka from Premium, size XXL",2,SKU1000415,Premium Pants,Premium,Tan,XXL,54.72,Brand: Premium | Color: Tan | Size: XXL,35.64,83.33,Premium,Tan,XXL,Parka,
DESC0023,"Tan Parka from Premium, size XXL",3,SKU1000070,Premium Parka,Premium,Burgundy,M,42.97,Brand: Premium | Type: Parka,41.99,44.44,Premium,Tan,XXL,Parka,
DESC0024,Do you stock Classic's lightweight dress in that navy blue? I need S.,1,SKU1000151,Classic Coat,Classic,Blue,S,48.21,Brand: Classic | Color: Blue | Size: S,24.79,83.33,Classic,Blue,S,Dress,
DESC0024,Do you stock Classic's lightweight dress in that navy blue? I need S.,2,SKU1000549,Classic Dress,Classic,Navy,XS,42.91,Brand: Classic | Type: Dress,41.88,44.44,Classic,Blue,S,Dress,
DESC0024,Do you stock Classic's lightweight dress in that navy blue? I need S.,3,SKU1000615,Classic Dress,Classic,Navy,XXL,40.52,Brand: Classic | Type: Dress,37.91,44.44,Classic,Blue,S,Dress,
DESC0025,"Need size XXL Vest this season, any brand works.",1,SKU1000035,Elite Vest,Elite,Beige,XXL,74.81,Size: XXL | Type: Vest,58.01,100.0,,,XXL,Vest,
DESC0025,"Need size XXL Vest this season, any brand works.",2,SKU1000149,Essential Vest,Essential,Red,XXL,73.16,Size: XXL | Type: Vest,55.26,100.0,,,XXL,Vest,
DESC0025,"Need size XXL Vest this season, any brand works.",3,SKU1000155,Style Vest,Style,Cream,XXL,68.11,Size: XXL | Type: Vest,46.85,100.0,,,XXL,Vest,
DESC0026,"Need black sneakers that are well-ventilated and sweat-wicking for Fall 2024, size XL.",1,SKU1000676,Comfort Sneakers,Comfort,Black,XL,65.06,Color: Black | Size: XL | Type: Sneakers,41.77,100.0,,Black,XL,Sneakers,Fall 2024
DESC0026,"Need black sneakers that are well-ventilated and sweat-wicking for Fall 2024, size XL.",2,SKU1000686,Nordic Sneakers,Nordic,Black,XL,51.34,Color: Black | Size: XL | Type: Sneakers,27.8,86.67,,Black,XL,Sneakers,Fall 2024
DESC0026,"Need black sneakers that are well-ventilated and sweat-wicking for Fall 2024, size XL.",3,SKU1000756,Essential Sneakers,Essential,Beige,XL,40.28,Size: XL | Type: Sneakers,31.58,53.33,,Black,XL,Sneakers,Fall 2024
DESC0027,"Hi there, could you help me find the olive sandals from Nordic in size M? Thanks in advance!",1,SKU1000777,Nordic Sandals,Nordic,Olive,M,72.59,Brand: Nordic | Color: Olive | Size: M | Type: Sandals,54.32,100.0,Nordic,Olive,M,Sandals,
DESC0027,"Hi there, could you help me find the olive sandals from Nordic in size M? Thanks in advance!",2,SKU1000727,Nordic Sandals,Nordic,White,M,59.66,Brand: Nordic | Size: M | Type: Sandals,51.28,72.22,Nordic,Olive,M,Sandals,
DESC0027,"Hi there, could you help me find the olive sandals from Nordic in size M? Thanks in advance!",3,SKU1000737,Nordic Sandals,Nordic,Brown,M,56.92,Brand: Nordic | Size: M | Type: Sandals,46.72,72.22,Nordic,Olive,M,Sandals,
DESC0028,"Do you have the Norddic Turleneck in burguundy, size XS?",1,SKU1000285,Nordic Turtleneck,Nordic,Burgundy,XS,82.57,Brand: Nordic | Color: Burgundy | Size: XS | Type: Turtleneck,70.95,100.0,Nordic,Burgundy,XS,Turtleneck,
DESC0028,"Do you have the Norddic Turleneck in burguundy, size XS?",2,SKU1000011,Nordic Vest,Nordic,Burgundy,XS,50.22,Brand: Nordic | Color: Burgundy | Size: XS,28.15,83.33,Nordic,Burgundy,XS,Turtleneck,
DESC0028,"Do you have the Norddic Turleneck in burguundy, size XS?",3,SKU1000291,Nordic Turtleneck,Nordic,Beige,XXL,48.02,Brand: Nordic | Type: Turtleneck,50.4,44.44,Nordic,Burgundy,XS,Turtleneck,
DESC0029,"Do you have the Clssic Patns in chaarcoal, size XL?",1,SKU1000380,Classic Pants,Classic,Gray,L,76.43,Brand: Classic | Color: Gray | Type: Pants,79.23,72.22,Classic,Gray,XL,Pants,
DESC0029,"Do you have the Clssic Patns in chaarcoal, size XL?",2,SKU1000320,Classic Pants,Classic,Charcoal,XL,73.23,Brand: Classic | Size: XL | Type: Pants,73.91,72.22,Classic,Gray,XL,Pants,
DESC0029,"Do you have the Clssic Patns in chaarcoal, size XL?",3,SKU1000365,Classic Pants,Classic,Brown,M,59.84,Brand: Classic | Type: Pants,70.1,44.44,Classic,Gray,XL,Pants,
DESC0030,"Want sundress with moisture-wicking performance, red in XS for Spring 2025.",1,SKU1000521,Nordic Sundress,Nordic,Red,XS,70.59,Color: Red | Size: XS | Type: Sundress,50.98,100.0,,Red,XS,Sundress,Spring 2025
DESC0030,"Want sundress with moisture-wicking performance, red in XS for Spring 2025.",2,SKU1000638,Classic Sundress,Classic,Red,XS,57.75,Color: Red | Size: XS | Type: Sundress,38.47,86.67,,Red,XS,Sundress,Spring 2025
DESC0030,"Want sundress with moisture-wicking performance, red in XS for Spring 2025.",3,SKU1000224,Nordic Polo,Nordic,Red,XS,49.38,Color: Red | Size: XS,28.97,80.0,,Red,XS,Sundress,Spring 2025
DESC0031,Need Alpine Parka Gray size L,1,SKU1000046,Alpine Parka,Alpine,Gray,L,89.79,Brand: Alpine | Color: Gray | Size: L | Type: Parka,82.98,100.0,Alpine,Gray,L,Parka,
DESC0031,Need Alpine Parka Gray size L,2,SKU1000094,Alpine Parka,Alpine,Beige,L,79.86,Brand: Alpine | Size: L | Type: Parka,84.94,72.22,Alpine,Gray,L,Parka,
DESC0031,Need Alpine Parka Gray size L,3,SKU1000106,Alpine Parka,Alpine,Blue,L,75.43,Brand: Alpine | Size: L | Type: Parka,77.57,72.22,Alpine,Gray,L,Parka,
DESC0032,Looking for Urban Turtleneck Brown XL,1,SKU1000189,Urban Turtleneck,Urban,Brown,XL,89.23,Brand: Urban | Color: Brown | Size: XL | Type: Turtleneck,82.04,100.0,Urban,Brown,XL,Turtleneck,
DESC0032,Looking for Urban Turtleneck Brown XL,2,SKU1000309,Urban Turtleneck,Urban,Green,XS,57.96,Brand: Urban | Type: Turtleneck,66.97,44.44,Urban,Brown,XL,Turtleneck,
DESC0032,Looking for Urban Turtleneck Brown XL,3,SKU1000201,Urban Turtleneck,Urban,Blue,L,55.69,Brand: Urban | Type: Turtleneck,63.19,44.44,Urban,Brown,XL,Turtleneck,
DESC0033,Do you stock Urban's jeans in that midnight blue? I need M.,1,SKU1000471,Urban Jeans,Urban,Navy,M,74.68,Brand: Urban | Size: M | Type: Jeans,76.31,72.22,Urban,Blue,M,Jeans,
DESC0033,Do you stock Urban's jeans in that midnight blue? I need M.,2,SKU1000326,Urban Jeans,Urban,Navy,XL,63.34,Brand: Urban | Type: Jeans,75.94,44.44,Urban,Blue,M,Jeans,
DESC0033,Do you stock Urban's jeans in that midnight blue? I need M.,3,SKU1000386,Urban Jeans,Urban,Olive,L,59.88,Brand: Urban | Type: Jeans,70.17,44.44,Urban,Blue,M,Jeans,
DESC0034,"I want Comfort's midnight blue dress in XXL, please.",1,SKU1000558,Comfort Dress,Comfort,Navy,XXL,57.15,Brand: Comfort | Size: XXL | Type: Dress,47.11,72.22,Comfort,Blue,XXL,Dress,
DESC0034,"I want Comfort's midnight blue dress in XXL, please.",2,SKU1000525,Comfort Dress,Comfort,Navy,XXL,56.38,Brand: Comfort | Size: XXL | Type: Dress,45.81,72.22,Comfort,Blue,XXL,Dress,
DESC0034,"I want Comfort's midnight blue dress in XXL, please.",3,SKU1000591,Comfort Dress,Comfort,White,XXL,54.27,Brand: Comfort | Size: XXL | Type: Dress,42.3,72.22,Comfort,Blue,XXL,Dress,
DESC0035,"Good afternoon, I'm checking if you carry the olive cardigan from Modern in size XS? Let me know what's possible.",1,SKU1000050,Modern Cardigan,Modern,Olive,L,60.3,Brand: Modern | Color: Olive | Type: Cardigan,52.35,72.22,Modern,Olive,M,Cardigan,
DESC0035,"Good afternoon, I'm checking if you carry the olive cardigan from Modern in size XS? Let me know what's possible.",2,SKU1000098,Modern Cardigan,Modern,Olive,XS,58.28,Brand: Modern | Color: Olive | Type: Cardigan,48.98,72.22,Modern,Olive,M,Cardigan,
DESC0035,"Good afternoon, I'm checking if you carry the olive cardigan from Modern in size XS? Let me know what's possible.",3,SKU1000128,Urban Cardigan,Urban,Olive,S,51.62,Color: Olive | Type: Cardigan,56.4,44.44,Modern,Olive,M,Cardigan,
DESC0036,"Searching for versatile footwear, preferably L.",1,SKU1000238,Premium Shirt,Premium,Cream,L,40.0,Size: L,0.0,100.0,,,L,,
DESC0036,"Searching for versatile footwear, preferably L.",2,SKU1000701,Style Sneakers,Style,Cream,L,40.0,Size: L,0.0,100.0,,,L,,
DESC0036,"Searching for versatile footwear, preferably L.",3,SKU1000433,Essential Shorts,Essential,Olive,L,40.0,Size: L,0.0,100.0,,,L,,
DESC0037,"Looking for Green Pants, size XXL.",1,SKU1000460,Nordic Pants,Nordic,Green,XXL,70.67,Color: Green | Size: XXL | Type: Pants,51.11,100.0,,Green,XXL,Pants,
DESC0037,"Looking for Green Pants, size XXL.",2,SKU1000465,Alpine Pants,Alpine,Beige,XXL,53.2,Size: XXL | Type: Pants,47.65,61.54,,Green,XXL,Pants,
DESC0037,"Looking for Green Pants, size XXL.",3,SKU1000415,Premium Pants,Premium,Tan,XXL,49.41,Size: XXL | Type: Pants,41.32,61.54,,Green,XXL,Pants,
DESC0038,Urban Gown in Gray size XS,1,SKU1000496,Urban Gown,Urban,Gray,XS,88.04,Brand: Urban | Color: Gray | Size: XS | Type: Gown,80.07,100.0,Urban,Gray,XS,Gown,
DESC0038,Urban Gown in Gray size XS,2,SKU1000553,Urban Gown,Urban,Olive,XS,70.6,Brand: Urban | Size: XS | Type: Gown,69.52,72.22,Urban,Gray,XS,Gown,
DESC0038,Urban Gown in Gray size XS,3,SKU1000517,Urban Gown,Urban,Black,L,60.39,Brand: Urban | Type: Gown,71.02,44.44,Urban,Gray,XS,Gown,
DESC0039,"Need something leather in a dresses style, S size.",1,SKU1000168,Style Sweater,Style,Charcoal,S,59.74,Brand: Style | Size: S,32.9,100.0,Style,,S,,
DESC0039,"Need something leather in a dresses style, S size.",2,SKU1000060,Style Jacket,Style,Tan,S,57.07,Brand: Style | Size: S,28.45,100.0,Style,,S,,
DESC0039,"Need something leather in a dresses style, S size.",3,SKU1000256,Style Shirt,Style,Cream,S,55.78,Brand: Style | Size: S,26.3,100.0,Style,,S,,
DESC0040,"Hello, I'm checking if you carry the green coat from Classic in size M? Thanks so much!",1,SKU1000079,Classic Coat,Classic,Green,M,74.11,Brand: Classic | Color: Green | Size: M | Type: Coat,56.84,100.0,Classic,Green,M,Coat,
DESC0040,"Hello, I'm checking if you carry the green coat from Classic in size M? Thanks so much!",2,SKU1000151,Classic Coat,Classic,Blue,S,48.8,Brand: Classic | Type: Coat,51.7,44.44,Classic,Green,M,Coat,
DESC0040,"Hello, I'm checking if you carry the green coat from Classic in size M? Thanks so much!",3,SKU1000097,Classic Coat,Classic,Tan,S,46.03,Brand: Classic | Type: Coat,47.08,44.44,Classic,Green,M,Coat,
DESC0041,"Need something denim in a bottoms style, L size.",1,SKU1000293,Style Blouse,Style,Charcoal,L,67.97,Brand: Style | Size: L,46.62,100.0,Style,,L,,
DESC0041,"Need something denim in a bottoms style, L size.",2,SKU1000534,Style Dress,Style,Red,L,63.65,Brand: Style | Size: L,39.42,100.0,Style,,L,,
DESC0041,"Need something denim in a bottoms style, L size.",3,SKU1000463,Style Shorts,Style,Cream,L,59.94,Brand: Style | Size: L,33.24,100.0,Style,,L,,
DESC0042,"Hi, I'm checking if you carry the brown leggings from Urban in size XXL? Thanks in advance!",1,SKU1000339,Urban Leggings,Urban,Brown,XXL,72.22,Brand: Urban | Color: Brown | Size: XXL | Type: Leggings,53.7,100.0,Urban,Brown,XXL,Leggings,
DESC0042,"Hi, I'm checking if you carry the brown leggings from Urban in size XXL? Thanks in advance!",2,SKU1000349,Style Leggings,Style,Brown,XXL,51.38,Color: Brown | Size: XXL | Type: Leggings,37.49,72.22,Urban,Brown,XXL,Leggings,
DESC0042,"Hi, I'm checking if you carry the brown leggings from Urban in size XXL? Thanks in advance!",3,SKU1000479,Alpine Leggings,Alpine,Cream,XXL,42.24,Size: XXL | Type: Leggings,40.77,44.44,Urban,Brown,XXL,Leggings,
DESC0043,Need Premiuum's redd Boluse sz S asap.,1,SKU1000245,Classic Blouse,Classic,Brown,S,81.08,Size: S | Type: Blouse,68.47,100.0,,,S,Blouse,
DESC0043,Need Premiuum's redd Boluse sz S asap.,2,SKU1000305,Classic Blouse,Classic,Cream,S,75.96,Size: S | Type: Blouse,59.93,100.0,,,S,Blouse,
DESC0043,Need Premiuum's redd Boluse sz S asap.,3,SKU1000179,Premium Blouse,Premium,Red,S,69.72,Size: S | Type: Blouse,49.53,100.0,,,S,Blouse,
DESC0044,"Searching for the Nordic day dress finished in olive tone, L size.",1,SKU1000636,Nordic Dress,Nordic,Olive,L,69.67,Brand: Nordic | Color: Olive | Size: L | Type: Dress,49.46,100.0,Nordic,Olive,L,Dress,
DESC0044,"Searching for the Nordic day dress finished in olive tone, L size.",2,SKU1000612,Nordic Dress,Nordic,Black,XS,43.55,Brand: Nordic | Type: Dress,42.96,44.44,Nordic,Olive,L,Dress,
DESC0044,"Searching for the Nordic day dress finished in olive tone, L size.",3,SKU1000501,Nordic Dress,Nordic,Charcoal,S,42.99,Brand: Nordic | Type: Dress,42.02,44.44,Nordic,Olive,L,Dress,
DESC0045,Looking for the sage open-toe shoes from Essential in L.,1,SKU1000661,Essential Sneakers,Essential,Burgundy,L,71.61,Brand: Essential | Size: L,52.69,100.0,Essential,,L,,
DESC0045,Looking for the sage open-toe shoes from Essential in L.,2,SKU1000183,Essential Turtleneck,Essential,White,L,68.33,Brand: Essential | Size: L,47.21,100.0,Essential,,L,,
DESC0045,Looking for the sage open-toe shoes from Essential in L.,3,SKU1000367,Essential Skirt,Essential,Green,L,65.24,Brand: Essential | Size: L,42.06,100.0,Essential,,L,,
