Description_ID,Unstructured_Description,Source_Channel
DESC0095,Nordic Sundress in Burgundy size S,Phone
DESC0096,"Do you have the Elste Ylazer in nayv, size XL?",Chat
DESC0097,"Need size XL Shorts this season, any brand works.",Phone
DESC0098,Do you stock Premium's sleeveless layer in that slate? I need L.,Chat
DESC0099,"Searching for the Nordic athletic shoes finished in noir, XXL size.",Marketplace
DESC0100,"Searching for the Alpine silky top finished in maroon, XL size.",Website
DESC0101,"Do you have the Apline Jeaans in blcak, size S?",Phone
DESC0102,"Need black t-shirt that is quick-drying and sweat-wicking for Summer 2025, size M.",Email
DESC0103,Need Nordic Loafers Blue size XL,Marketplace
DESC0104,"Need tan turtleneck that is fast-drying for Spring 2025, size XS.",Marketplace
DESC0105,Looking for Alpine Sneakers Blue S,Website
DESC0106,"Want gown with airy and no-iron performance, navy in M for Winter 2025.",Phone
DESC0107,"Do you have the lEite Doafers in oliev, size XXL?",Email
DESC0108,"I want Essential's ecru gown in S, please.",Phone
DESC0109,"Do you have the Alpne Skiirt in uream, size L?",Marketplace
DESC0110,Do you carry Premium Jeans for Spring 2025?,Email
DESC0111,Urban Shirt in Navy size XL,Phone
DESC0112,"Do you have the Wodern Turtleneeck in rgay, size XXL?",Marketplace
DESC0113,"Need something cotton in a outerwear style, XL size.",Phone
DESC0114,"Need beige blazer that is high-stretch for Summer 2025, size XS.",Phone
DESC0115,"I want Elite's emerald sandals in XS, please.",Email
DESC0116,"Hello, do you happen to have the charcoal shorts from Comfort in size S? Thanks so much!",Chat
DESC0117,"Looking for nnavy Boost by ordic, size S please.",Phone
DESC0118,"Want boots with sweat-wicking performance, green in XXL for Winter 2024.",Email
DESC0119,"Want gown with sweat-wicking and stretchy performance, white in S for Spring 2024.",Website
DESC0120,Looking for Essential Gown Beige M,Email
DESC0121,Looking for the cobalt sandals from Premium in XXL.,Marketplace
DESC0122,Need Comfort Jacket Cream size XXL,Marketplace
DESC0123,"Looking for heat-retaining brown sandals in M, ideally nylon.",Website
DESC0124,Looking for Essential Shorts Green L,Marketplace
DESC0125,"Good afternoon, do you happen to have the red dress from Style in size L? Thanks in advance!",Chat
DESC0126,"After Black option in XXL, preferably Jacket.",Marketplace
DESC0127,"Want burgundy option in tops, open to suggestions.",Marketplace
DESC0128,"After Tan option in XS, preferably Shirt.",Phone
DESC0129,Do you carry Modern Jeans for Spring 2025?,Chat
DESC0130,"Searching for the Elite shirt finished in cedar brown, XXL size.",Website
DESC0131,Looking for the eggshell shirt from Premium in L.,Website
DESC0132,"I want Style's off-white turtleneck in XXL, please.",Phone
DESC0133,"After Black option in XXL, preferably Pants.",Phone
DESC0134,"Hi there, do you happen to have the brown jeans from Urban in size XL? Thanks so much!",Website
DESC0135,"Good afternoon, I'm checking if you carry the blue turtleneck from Urban in size L? Let me know what's possible.",Marketplace
DESC0136,"Hey team, I'm hoping to order the blue sandals from Modern in size XL? Thanks so much!",Phone
DESC0137,Do you have any tops options suitable for Winter 2025?,Phone
DESC0138,"After Charcoal option in M, preferably Blouse.",Marketplace
DESC0139,"Want jeans with breathable performance, gray in XXL for Fall 2024.",Marketplace
DESC0140,"Looking for well-ventilated brown t-shirt in L, ideally cotton.",Phone
DESC0141,"Good afternoon, I'm hoping to order the white t-shirt from Nordic in size L? Thanks in advance!",Chat
DESC0142,"Want polo with airy performance, blue in M for Summer 2024.",Email
DESC0143,Nordic Gown in Olive size XS,Phone
DESC0144,Do you carry Essential Parka for Winter 2024?,Website
DESC0145,"Want polo with moisture-wicking performance, white in L for Spring 2025.",Phone
DESC0146,Need Comfort Jacket Gray size M,Website
DESC0147,"Do you have the lassic Blaer in oilve, size M?",Marketplace
DESC0148,"I want Elite's noir skirt in XXL, please.",Email
DESC0149,"Need size XXL Turtleneck this season, any brand works.",Marketplace
DESC0150,"Need green jeans that are well-ventilated for Fall 2024, size M.",Website
DESC0151,"Do you have the Prremium Jackt in lue, size XS?",Website
DESC0152,"Searching for the Alpine skirt finished in ecru, XXL size.",Phone
DESC0153,Looking for Classic Shirt Charcoal XXL,Phone
DESC0154,"Need green sweater that is flexible for Winter 2025, size XL.",Chat
DESC0155,"Searching for versatile outerwear, preferably XS.",Email
DESC0156,Need Comffort's phite Yress sz XXL asap.,Phone
DESC0157,"Hi, could you help me find the blue vest from Elite in size XL? Let me know what's possible.",Email
DESC0158,Nordic Jacket in Blue size M,Website
DESC0159,"Do you have the Elitte Dresss in brwn, size XXL?",Email
DESC0160,"After Gray option in S, preferably Jeans.",Phone
DESC0161,Do you carry Urban Parka for Winter 2024?,Website
DESC0162,"Need cream blazer that is waterproof for Winter 2025, size XXL.",Chat
DESC0163,"Looking for wrinkle-free and high-stretch brown pants in M, ideally linen.",Email
DESC0164,Looking for the olive tone outerwear piece from Urban in M.,Phone
DESC0165,Do you carry Elite Vest for Fall 2025?,Website
DESC0166,"Need size XS Boots this season, any brand works.",Chat
DESC0167,Need Stmle's ggray Sandzls sz M asap.,Email
DESC0168,Looking for the camel roll-neck from Classic in S.,Email
DESC0169,"Green Dress from Comfort, size M",Marketplace
DESC0170,"Do you have the Prmeium Pollo in charrcoal, size L?",Website
DESC0171,"Looking for Olive Boots, size XL.",Email
DESC0172,Do you carry Alpine Blouse for Winter 2025?,Chat
DESC0173,"Need size XS Sneakers this season, any brand works.",Website
DESC0174,"Hello, do you happen to have the blue coat from Classic in size S? Let me know what's possible.",Marketplace
DESC0175,Need Urban Jeans Red size XL,Phone
DESC0176,"White Sandals from Nordic, size M",Website
DESC0177,"Looking for crease-resistant white sundress in L, ideally silk.",Website
DESC0178,Looking for the cobalt knit sweater from Nordic in L.,Email
DESC0179,"Looking for ccharcoal Sundrhss by Nrdic, size XXL please.",Chat
DESC0180,"Do you have the Commfort Yoots in bnack, size XL?",Website
DESC0181,Need Essential Leggings Red size S,Email
DESC0182,"Good afternoon, I'm hoping to order the burgundy gown from Nordic in size S? Thanks so much!",Website
DESC0183,Do you carry Essential Parka for Winter 2025?,Chat
DESC0184,"Good afternoon, I'm checking if you carry the beige skirt from Modern in size XS? Appreciate your help.",Website
DESC0185,"Looking for heat-retaining gray sneakers in XS, ideally nylon.",Website
DESC0186,"Searching for versatile outerwear, preferably M.",Phone
DESC0187,Do you stock Premium's knit jumper in that olive tone? I need S.,Marketplace
DESC0188,Do you stock Premium's formal dress in that ruby red? I need S.,Website
DESC0189,"Do you have the Uran Blose in oolive, size XS?",Website
DESC0190,Do you carry Essential Jacket for Winter 2025?,Email
DESC0191,"Need size XXL Dress this season, any brand works.",Phone
DESC0192,"Looking for creeam Veyt by Pemium, size XS please.",Website
DESC0193,Do you stock Urban's bermuda shorts in that deep wine? I need S.,Chat
DESC0194,"Do you have the Noordic Bloume in meige, size XXL?",Phone
DESC0195,Do you stock Elite's silky top in that navy blue? I need S.,Website
DESC0196,"I want Essential's wine red slip-ons in XL, please.",Marketplace
DESC0197,Do you stock Modern's long coat in that sage green? I need XL.,Marketplace
DESC0198,"Charcoal Leggings from Modern, size L",Chat
DESC0199,"Searching for versatile dresses, preferably S.",Email
DESC0200,"Need size XL Gown this season, any brand works.",Marketplace
DESC0201,"Looking for rain-ready black coat in XXL, ideally denim.",Website
DESC0202,"Need size M Blazer this season, any brand works.",Email
DESC0203,"Hi there, I'm checking if you carry the beige sweater from Urban in size XS? Let me know what's possible.",Website
DESC0204,"Hey team, I'm checking if you carry the cream boots from Nordic in size L? Let me know what's possible.",Phone
DESC0205,Looking for charcoal outerwear for Fall 2024.,Marketplace
DESC0206,Looking for the army green slip-ons from Modern in S.,Chat
DESC0207,"After Charcoal option in L, preferably Heels.",Phone
DESC0208,Looking for Style Gown Beige XS,Website
DESC0209,"Looking for quick-dry green cardigan in XL, ideally denim.",Marketplace
DESC0210,Looking for Nordic Gown Cream S,Marketplace
DESC0211,Looking for the deep blue leggings from Alpine in XS.,Website
DESC0212,Do you carry Classic Skirt for Winter 2025?,Marketplace
DESC0213,"Need something leather in a dresses style, XXL size.",Email
DESC0214,"Searching for the Modern vest finished in soft ivory, XL size.",Chat
DESC0215,"Searching for the Nordic loafers finished in chocolate, M size.",Website
DESC0216,Need Alpine Gown Green size XL,Chat
DESC0217,Looking for Premium Pants Navy XS,Chat
DESC0218,"After Navy option in M, preferably T-Shirt.",Email
DESC0219,"After Tan option in S, preferably Shirt.",Website
DESC0220,"Gray Sweater from Elite, size XXL",Phone
DESC0221,Do you stock Elite's dressy top in that sage green? I need L.,Email
DESC0222,Do you have any dresses options suitable for Winter 2024?,Chat
DESC0223,"Blue Sweater from Modern, size M",Phone
DESC0224,"Need charcoal boots that are quick-drying and waterproof for Winter 2024, size XL.",Email
DESC0225,Need Classic Vest Tan size L,Email
DESC0226,Do you stock Classic's a-line skirt in that sage green? I need XXL.,Website
DESC0227,"Good afternoon, could you help me find the gray heels from Essential in size M? Appreciate your help.",Chat
DESC0228,"Want jacket with UV-protective performance, red in XXL for Fall 2024.",Website
DESC0229,"Looking for nevy Poolo by Aodern, size S please.",Website
DESC0230,"Good afternoon, I'm checking if you carry the navy sandals from Classic in size S? Thanks so much!",Website
DESC0231,"Looking for bevge Snakers by Classzc, size S please.",Website
DESC0232,"After White option in XS, preferably Heels.",Marketplace
DESC0233,"Good afternoon, could you help me find the cream cardigan from Elite in size XS? Appreciate your help.",Chat
DESC0234,"Do you have the Eliite Blose in oliev, size M?",Phone
DESC0235,Need Norrdic's whie Gmwn sz XL asap.,Marketplace
DESC0236,Looking for the soft ivory day dress from Elite in XS.,Phone
DESC0237,Do you carry Elite Jacket for Summer 2024?,Email
DESC0238,Looking for Style Jacket Tan XXL,Chat
DESC0239,"Want dress with sweat-wicking performance, gray in M for Winter 2024.",Website
DESC0240,"I want Comfort's maroon blazer in M, please.",Chat
DESC0241,Do you stock Alpine's weather boots in that emerald? I need XXL.,Website
DESC0242,"Searching for the Alpine cold-weather coat finished in khaki, L size.",Marketplace
DESC0243,"Good afternoon, I'm checking if you carry the olive sneakers from Elite in size XL? Thanks so much!",Email
DESC0244,"Want cream option in dresses, open to suggestions.",Website
DESC0245,Do you carry Essential Dress for Spring 2024?,Email
DESC0246,Need Classic Blouse Cream size S,Phone
DESC0247,"Charcoal Sandals from Modern, size M",Website
DESC0248,Do you stock Alpine's t-shirt in that charcoal tone? I need XS.,Website
DESC0249,Looking for Elite Sundress Red L,Website
DESC0250,"Looking for keeps-dry charcoal dress in M, ideally wool.",Marketplace
